10k_tax,IUCN_tax,remove
Macaca brunnescens,Macaca ochreata brunnescens,
Macaca cyclopis,Macaca cyclopis,
Macaca fascicularis,Macaca fascicularis,
Macaca fuscata,Macaca fuscata,
Macaca hecki,Macaca hecki,
Macaca leonina,Macaca leonina,
Macaca maura,Macaca maura,
Macaca mulatta,Macaca mulatta,
Macaca munzala,Macaca munzala,
Macaca nemestrina,Macaca nemestrina,
Macaca nemestrina leonina,Macaca leonina,
Macaca nemestrina siberu,Macaca siberu,
Macaca nigra,Macaca nigra,
Macaca nigrescens,Macaca nigrescens,
Macaca ochreata,Macaca ochreata,
Macaca pagensis,Macaca pagensis,
Macaca radiata,Macaca radiata,
Macaca silenus,Macaca silenus,
Macaca sinica,Macaca sinica,
Macaca sylvanus,Macaca sylvanus,
Macaca thibetana,Macaca thibetana,
Macaca tonkeana,Macaca tonkeana,
Mandrillus leucophaeus,Mandrillus leucophaeus,
Mandrillus sphinx,Mandrillus sphinx,
Microcebus berthae,Microcebus berthae,
Microcebus bongolavensis,Microcebus bongolavensis,
Microcebus danfossi,Microcebus danfossi,
Microcebus griseorufus,Microcebus griseorufus,
Microcebus jollyae,Microcebus jollyae,
Microcebus lehilahytsara,Microcebus lehilahytsara,
Microcebus lokobensis,Microcebus mamiratra,1
Microcebus macarthurii,Microcebus macarthurii,
Microcebus mamiratra,Microcebus mamiratra,
Microcebus mittermeieri,Microcebus mittermeieri,
Microcebus murinus,Microcebus murinus,
Microcebus myoxinus,Microcebus myoxinus,
Microcebus ravelobensis,Microcebus ravelobensis,
Microcebus rufus,Microcebus rufus,
Microcebus sambiranensis,Microcebus sambiranensis,
Microcebus simmonsi,Microcebus simmonsi,
Microcebus tavaratra,Microcebus tavaratra,
Miopithecus talapoin,Miopithecus talapoin,
Mirza coquereli,Mirza coquereli,
Mirza zaza,Mirza zaza,
Nasalis larvatus,Nasalis larvatus,
Nomascus concolor,Nomascus concolor,
Nomascus gabriellae,Nomascus gabriellae,
Nomascus leucogenys,Nomascus leucogenys,
Nomascus nasutus,Nomascus nasutus,
Nomascus siki,Nomascus siki,
Nycticebus bengalensis,Nycticebus bengalensis,
Nycticebus coucang,Nycticebus coucang,
Nycticebus javanicus,Nycticebus javanicus,
Nycticebus menagensis,Nycticebus menagensis,
Nycticebus pygmaeus,Nycticebus pygmaeus,
Otolemur crassicaudatus,Otolemur crassicaudatus,
Otolemur garnettii,Otolemur garnettii,
Pan paniscus,Pan paniscus,
Pan troglodytes schweinfurthii,Pan troglodytes schweinfurthii,
Pan troglodytes troglodytes,Pan troglodytes troglodytes,
Pan troglodytes vellerosus,Pan troglodytes troglodytes,
Pan troglodytes verus,Pan troglodytes verus,
Papio anubis,Papio anubis,
Papio cynocephalus,Papio cynocephalus,
Papio hamadryas,Papio hamadryas,
Papio papio,Papio papio,
Papio ursinus,Papio ursinus,
Perodicticus potto,Perodicticus potto,
Phaner furcifer,Phaner furcifer,
Phaner furcifer pallescens,Phaner pallescens,
Piliocolobus badius,Piliocolobus badius,
Piliocolobus foai,Piliocolobus foai,
Piliocolobus gordonorum,Piliocolobus gordonorum,
Piliocolobus kirkii,Piliocolobus kirkii,
Piliocolobus pennantii,Piliocolobus pennantii,
Piliocolobus preussi,Piliocolobus preussi,
Piliocolobus rufomitratus,Piliocolobus rufomitratus,
Piliocolobus tephrosceles,Piliocolobus tephrosceles,
Piliocolobus tholloni,Piliocolobus tholloni,
Pithecia irrorata,Pithecia irrorata,
Pithecia pithecia,Pithecia pithecia,
Pongo abelii,Pongo abelii,
Pongo pygmaeus,Pongo pygmaeus,
Presbytis comata,Presbytis comata,
Presbytis melalophos,Presbytis melalophos,
Procolobus verus,Procolobus verus,
Propithecus coquereli,Propithecus coquereli,
Propithecus deckenii,Propithecus deckenii,
Propithecus diadema,Propithecus diadema,
Propithecus edwardsi,Propithecus edwardsi,
Propithecus tattersalli,Propithecus tattersalli,
Propithecus verreauxi,Propithecus verreauxi,
Pygathrix cinerea,Pygathrix cinerea,
Pygathrix nemaeus,Pygathrix nemaeus,
Rhinopithecus avunculus,Rhinopithecus avunculus,
Rhinopithecus bieti,Rhinopithecus bieti,
Rhinopithecus brelichi,Rhinopithecus brelichi,
Rhinopithecus roxellana,Rhinopithecus roxellana,
Rungwecebus kipunji,Rungwecebus kipunji,
Saguinus bicolor,Saguinus bicolor,
Saguinus fuscicollis,Leontocebus fuscicollis,
Saguinus fuscicollis melanoleucus,Saguinus fuscicollis melanoleucus,1
Saguinus geoffroyi,Saguinus geoffroyi,
Saguinus imperator,Saguinus imperator,
Saguinus leucopus,Saguinus leucopus,
Saguinus midas,Saguinus midas,
Saguinus mystax,Saguinus mystax,
Saguinus niger,Saguinus niger,
Saguinus oedipus,Saguinus oedipus,
Saguinus tripartitus,Leontocebus tripartitus,
Saimiri boliviensis,Saimiri boliviensis,
Saimiri oerstedii,Saimiri oerstedii,
Saimiri sciureus,Saimiri sciureus,
Saimiri ustus,Saimiri ustus,
Semnopithecus entellus,Semnopithecus entellus,
Symphalangus syndactylus,Symphalangus syndactylus,
Tarsius bancanus,Cephalopachus bancanus,
Tarsius dentatus,Tarsius dentatus,
Tarsius lariang,Tarsius lariang,
Tarsius syrichta,Carlito syrichta,
Theropithecus gelada,Theropithecus gelada,
Trachypithecus auratus,Trachypithecus auratus,
Trachypithecus cristatus,Trachypithecus cristatus,
Trachypithecus delacouri,Trachypithecus delacouri,
Trachypithecus francoisi,Trachypithecus francoisi,
Trachypithecus geei,Trachypithecus geei,
Trachypithecus germaini,Trachypithecus germaini,
Trachypithecus johnii,Semnopithecus johnii,
Trachypithecus laotum,Trachypithecus laotum,
Trachypithecus obscurus,Trachypithecus obscurus,
Trachypithecus phayrei,Trachypithecus phayrei,
Trachypithecus pileatus,Trachypithecus pileatus,
Trachypithecus poliocephalus,Trachypithecus poliocephalus,
Trachypithecus vetulus,Semnopithecus vetulus,
Varecia rubra,Varecia rubra,
Varecia variegata variegata,Varecia variegata variegata,
